id,cast-1,cast-2,cast-3,cast-4,cinematographer-1,cinematographer-2,cinematographer-3,cinematographer-4,costume department-1,costume department-2,costume department-3,costume department-4,director-1,director-2,director-3,director-4,editor-1,editor-2,editor-3,editor-4,genres-1,genres-2,genres-3,genres-4,language-1,language-2,language-3,language-4,rating,producer-1,producer-2,producer-3,producer-4,writer-1,writer-2,writer-3,writer-4,distributor-1,distributor-2,distributor-3,distributor-4
0111161,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,Roger Deakins,null,null,null,Cookie Beard,Carol Buckler,Kris Kearney,Taneia Lednicky,Frank Darabont,null,null,null,Richard Francis-Bruce,null,null,null,Crime,Drama,null,null,English,null,null,null,9.3,Liz Glotzer,David V. Lester,Niki Marvin,null,Stephen King,Frank Darabont,null,null,PolyGram Film International,Columbia Pictures,ARP Sélection,Columbia TriStar Films AB
0050083,Martin Balsam,John Fiedler,Lee J. Cobb,E.G. Marshall,Boris Kaufman,null,null,null,null,null,null,null,Sidney Lumet,null,null,null,Carl Lerner,null,null,null,Crime,Drama,null,null,English,null,null,null,8.9,Henry Fonda,George Justin,Reginald Rose,null,Reginald Rose,null,null,null,United Artists,20th Century Fox Home Entertainment,20th Century Fox Home Entertainment,Les Artistes Associés
0068646,Marlon Brando,Al Pacino,James Caan,Richard S. Castellano,Gordon Willis,null,null,null,George Newman,Marilyn Putnam,Joan Joseff,null,Francis Ford Coppola,null,null,null,William Reynolds,Peter Zinner,null,null,Crime,Drama,null,null,English,Italian,Latin,null,9.2,Gray Frederickson,Albert S. Ruddy,Robert Evans,null,Mario Puzo,Francis Ford Coppola,Mario Puzo,null,Paramount Pictures,Cinéma International Corporation (CIC),Cinema International Corporation (CIC),Cinema International Corporation (CIC)
0071562,Al Pacino,Robert Duvall,Diane Keaton,Robert De Niro,Gordon Willis,null,null,null,Sandy Berke Jordan,Nancy McArdle,George Newman,Marie Osborne,Francis Ford Coppola,null,null,null,Barry Malkin,Richard Marks,Peter Zinner,null,Crime,Drama,null,null,English,Italian,Spanish,Latin,9.0,Francis Ford Coppola,Gray Frederickson,Fred Roos,Mona Skager,Francis Ford Coppola,Mario Puzo,Mario Puzo,null,Paramount Pictures,Cinéma International Corporation (CIC),Cinema International Corporation (CIC),Cinema International Corporation (CIC)
1795369,Benedict Cumberbatch,Jonny Lee Miller,Ella Smith,John Killoran,null,null,null,null,null,null,null,null,Danny Boyle,null,null,null,null,null,null,null,null,null,null,null,English,null,null,null,9.1,null,null,null,null,Nick Dear,Mary Shelley,null,null,National Theatre Live,Culture-Ville,null,null
0110912,Tim Roth,Laura Lovelace,John Travolta,Samuel L. Jackson,Andrzej Sekula,null,null,null,Jacqueline Aronson,Kristin Dangl,Mary Claire Hannan,Marilyn Pachasa,Quentin Tarantino,null,null,null,Sally Menke,null,null,null,Crime,Drama,null,null,English,Spanish,French,null,8.9,Lawrence Bender,Danny DeVito,Richard N. Gladstein,Michael Shamberg,Quentin Tarantino,Roger Avary,Quentin Tarantino,null,Miramax,Alliance Atlantis Motion Picture Distribution,Bac Films,Buena Vista International
0371392,Jai Koutrae,Sandra Stockley,Ruth McDonald,Ellouise Rothwell,Paul Kolsky,null,null,null,null,null,null,null,Georgina Willis,null,null,null,Kerry Rock,Georgina Willis,null,null,Crime,Drama,Mystery,Thriller,English,null,null,null,8.8,Kerry Rock,null,null,null,Georgina Willis,null,null,null,Potoroo Films,null,null,null
2077886,Ramin Karimloo,Sierra Boggess,Hadley Fraser,Wendy Ferguson,null,null,null,null,Johanna Elf,Andy Fordham,Tami Holton,null,Nick Morris,Laurence Connor,null,null,Lawrence Huck,Nick Morris,null,null,Drama,Music,Musical,Romance,English,null,null,null,8.9,Cameron Mackintosh,Dione Orrom,Thomas Schönberg,Brett Sullivan,Richard Stilgoe,Andrew Lloyd Webber,Gaston Leroux,null,Universal Studios Home Entertainment,Omniverse Vision,Solar Entertainment,Toho-Towa
0108052,Liam Neeson,Ben Kingsley,Ralph Fiennes,Caroline Goodall,Janusz Kaminski,null,null,null,Ewa Helman-Szczerbic,Mollie Jones,Monika Sajko,Malgorzata Stefaniak,Steven Spielberg,null,null,null,Michael Kahn,null,null,null,Biography,Drama,History,null,English,Hebrew,German,Polish,8.9,Irving Glovin,Kathleen Kennedy,Branko Lustig,Gerald R. Molen,Thomas Keneally,Steven Zaillian,null,null,Universal Pictures,Universal Studios Home Video,Universal Studios Home Video,Lucernafilm - Alfa
0468569,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,Wally Pfister,null,null,null,Jennifer Alford,Giorgio Armani,Rob Bliss,Pierre Bohanna,Christopher Nolan,null,null,null,Lee Smith,null,null,null,Action,Crime,Drama,null,English,Mandarin,null,null,9.0,Kevin De La Noy,Jordan Goldberg,Philip Lee,Benjamin Melniker,Jonathan Nolan,Christopher Nolan,Christopher Nolan,David S. Goyer,Warner Bros.,20th Century Fox,Fox-Warner,InterComFilm
1754109,Alfie Boe,Norm Lewis,Matt Lucas,Jenny Galloway,null,null,null,null,null,null,null,null,Nick Morris,null,null,null,Marko Keser,Nick Morris,Brett Sullivan,null,Music,Musical,null,null,English,null,null,null,8.7,Sinead D'Arcy,Clare Donaldson,Cameron Mackintosh,Thomas Schönberg,Alain Boublil,Claude-Michel Schönberg,Victor Hugo,Alain Boublil,Universal Pictures,Omniverse Vision,NHK,Public Broadcasting Service (PBS)
2640460,Elina Abai Kyzy,Nasira Mambetova,Aziz Muradillayev,Adilet Usubaliyev,Murat Aliyev,null,null,null,Saltanat Abdrakhmanova,Alina Almasheva,Omurbek Imanbaev,Asyl Sharshenova,Sadyk Sher-Niyaz,null,null,null,Eldiyar Madakim,null,null,null,Action,Biography,Drama,History,English,Kyrgyz,Russian,null,8.7,Farkhad Bekmanbetov,Zhyldyzkan Dzholdoshova,Zeine Kasmankulova,Sadyk Sher-Niyaz,Sadyk Sher-Niyaz,Bakytbek Turdubaev,Bakyt Turdubayev,null,null,null,null,null
0080684,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,Peter Suschitzky,null,null,null,Tiny Nicholls,Eileen Sullivan,null,null,Irvin Kershner,null,null,null,T.M. Christopher,Paul Hirsch,George Lucas,Marcia Lucas,Action,Adventure,Fantasy,Sci-Fi,English,null,null,null,8.8,Jim Bloom,Gary Kurtz,George Lucas,Rick McCallum,Leigh Brackett,Lawrence Kasdan,George Lucas,null,Twentieth Century Fox Film Corporation,20th Century Fox,20th Century Fox,20th Century Fox de Argentina
1375666,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Tom Hardy,Wally Pfister,null,null,null,Terry Anderson,Kurt J. Blackwell,Pablo Borges,Phillip Boutte Jr.,Christopher Nolan,null,null,null,Lee Smith,null,null,null,Action,Mystery,Sci-Fi,Thriller,English,Japanese,French,null,8.8,Zakaria Alaoui,John Bernard,Chris Brigham,Jordan Goldberg,Christopher Nolan,null,null,null,Columbia TriStar Warner Filmes de Portugal,Continental Film,Film1,Forum Cinemas
0073486,Michael Berryman,Peter Brocco,Dean R. Brooks,Alonzo Brown,Haskell Wexler,null,null,null,Aggie Guerard Rodgers,null,null,null,Milos Forman,null,null,null,Sheldon Kahn,Lynzee Klingman,null,null,Drama,null,null,null,English,null,null,null,8.7,Michael Douglas,Martin Fink,Saul Zaentz,null,Lawrence Hauben,Bo Goldman,Ken Kesey,Dale Wasserman,United Artists,Sandrew Film & Teater,United Artists Films,United Artists
0109830,Tom Hanks,Rebecca Williams,Sally Field,Michael Conner Humphreys,Don Burgess,null,null,null,Patricia Bercsi,Betty Birkowski,Nigel Boyd,Dan Bronson,Robert Zemeckis,null,null,null,Arthur Schmidt,null,null,null,Drama,Romance,null,null,English,null,null,null,8.8,Wendy Finerman,Charles Newirth,Steve Starkey,Steve Tisch,Winston Groom,Eric Roth,null,null,Paramount Pictures,Lucernafilm - Alfa,Paramount Pictures Corporation (Canada),United International Pictures (UIP)
0137523,Edward Norton,Brad Pitt,Helena Bonham Carter,Meat Loaf,Jeff Cronenweth,null,null,null,Terry Anderson,Elinor Bardach,Wendy M. Craig,Amanda Friedland,David Fincher,null,null,null,James Haygood,null,null,null,Drama,null,null,null,English,null,null,null,8.9,Ross Grayson Bell,Ceán Chaffin,John S. Dorsey,Art Linson,Chuck Palahniuk,Jim Uhls,null,null,Twentieth Century Fox Film Corporation,20th Century Fox Netherlands,20th Century Fox,20th Century Fox
0133093,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,Bill Pope,null,null,null,Lyn Askew,Nicole Brown,Mary Lou Da Roza,Nick Godlee,Andy Wachowski,Lana Wachowski,null,null,Zach Staenberg,null,null,null,Action,Sci-Fi,null,null,English,null,null,null,8.7,Bruce Berman,Dan Cracchiolo,Carol Hughes,Andrew Mason,Andy Wachowski,Lana Wachowski,null,null,Warner Bros.,Roadshow Entertainment,Sandrew Metronome Distribution,Village Roadshow Greece S.A.
0099685,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,Michael Ballhaus,null,null,null,Jennifer L. Bryan,Robert Dean Jackson,Thomas Lee Keller,Susan O'Donnell,Martin Scorsese,null,null,null,James Y. Kwei,Thelma Schoonmaker,null,null,Biography,Crime,Drama,null,English,Italian,null,null,8.7,Barbara De Fina,Bruce S. Pustin,Irwin Winkler,null,Nicholas Pileggi,Nicholas Pileggi,Martin Scorsese,null,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros. Finland
0074896,Anthony Quinn,Irene Papas,Michael Ansara,Johnny Sekka,Said Baker,Jack Hildyard,Ibrahim Salem,null,Betty Adamson,Franco Antonelli,Jennie Tate,null,Moustapha Akkad,null,null,null,John Bloom,null,null,null,Adventure,Biography,Drama,History,English,Arabic,null,null,8.6,Moustapha Akkad,Harold Buck,Mohammad Sanousi,null,H.A.L. Craig,Tewfik El-Hakim,A.B. Jawdat El-Sahhar,A.B. Rahman El-Sharkawi,Tarik Film Distributors,Anchor Bay Entertainment,Continental,Manga Films
3970482,Roger Waters,Dave Kilminster,Snowy White,G.E. Smith,Brett Turnbull,null,null,null,Dario Andrade,Camille Bastien,Sonja Benavidez,Minty Cadwallader,Sean Evans,Roger Waters,null,null,Andrew Marcus,Katie Mcquerrey,null,null,Music,null,null,null,English,French,null,null,8.7,Jocelyn Debois,Eric Dionysius,Philippe Dugay,Mark Fenwick,Sean Evans,Roger Waters,null,null,Universal Pictures,Universal Pictures,null,null
0114814,Stephen Baldwin,Gabriel Byrne,Benicio Del Toro,Kevin Pollak,Newton Thomas Sigel,null,null,null,Erin Beck,Lori Eskowitz-Carter,Prudence Moriarty,Caitlin Shamberg,Bryan Singer,null,null,null,John Ottman,null,null,null,Crime,Drama,Thriller,null,English,Hungarian,Spanish,French,8.6,Hans Brockmann,François Duplat,Art Horan,Robert Jones,Christopher McQuarrie,null,null,null,Gramercy Pictures (I),PolyGram Filmed Entertainment,Spelling Films International,ELKE
0114369,Morgan Freeman,Andrew Kevin Walker,Daniel Zacapa,Brad Pitt,Darius Khondji,null,null,null,Elinor Bardach,Marsha Bozeman,Larry Velasco,null,David Fincher,null,null,null,Richard Francis-Bruce,null,null,null,Crime,Drama,Mystery,Thriller,English,null,null,null,8.6,Stephen Brown,Phyllis Carlyle,William C. Gerrity,Nana Greenwald,Andrew Kevin Walker,null,null,null,New Line Cinema,Cecchi Gori Distribuzione,Constantin Film,Focus Film AG
0021749,Virginia Cherrill,Florence Lee,Harry Myers,Garcia Al Ernest,Gordon Pollock,Roland Totheroh,null,null,null,null,null,null,Charles Chaplin,null,null,null,Charles Chaplin,Willard Nico,null,null,Comedy,Drama,Romance,null,English,null,null,null,8.6,Charles Chaplin,null,null,null,Charles Chaplin,Harry Clive,Harry Crocker,null,United Artists,Nova Film,Sandrew Film & Teater,United Artists Corporation
0076759,Mark Hamill,Harrison Ford,Carrie Fisher,Peter Cushing,Gilbert Taylor,null,null,null,Ron Beck,Dominic Jack Pizzo Sr.,null,null,George Lucas,null,null,null,Richard Chew,T.M. Christopher,Paul Hirsch,Marcia Lucas,Action,Adventure,Fantasy,Sci-Fi,English,null,null,null,8.7,Gary Kurtz,George Lucas,Rick McCallum,null,George Lucas,null,null,null,Twentieth Century Fox Film Corporation,20th Century Fox,20th Century Fox,20th Century Fox
0038650,James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell,Joseph F. Biroc,Joseph Walker,Victor Milner,null,Eugene Joseff,null,null,null,Frank Capra,null,null,null,William Hornbeck,null,null,null,Drama,Family,Fantasy,null,English,null,null,null,8.6,Frank Capra,null,null,null,Frances Goodrich,Albert Hackett,Frank Capra,Jo Swerling,RKO Radio Pictures,RKO Radio Films,Corona Film,RKO
0064116,Claudia Cardinale,Henry Fonda,Jason Robards,Charles Bronson,Tonino Delli Colli,null,null,null,Marilù Carteny,null,null,null,Sergio Leone,null,null,null,Nino Baragli,null,null,null,Western,null,null,null,English,Spanish,Italian,null,8.6,Bino Cicogna,Fulvio Morsella,null,null,Sergio Donati,Sergio Leone,Dario Argento,Bernardo Bertolucci,Euro International Film (EIA),Paramount,Paramount Pictures,Paramount
0102926,Jodie Foster,Lawrence A. Bonney,Kasi Lemmons,Lawrence T. Wrentz,Tak Fujimoto,null,null,null,Mark Burchard,Kathleen Gerlach,Hartsell Taylor,Benjamin Wilson,Jonathan Demme,null,null,null,Craig McKay,null,null,null,Crime,Drama,Thriller,null,English,null,null,null,8.6,Grace Blake,Ronald M. Bozman,Gary Goetzman,Edward Saxon,Thomas Harris,Ted Tally,null,null,Orion Pictures,Columbia TriStar Film,Columbia TriStar Films,Columbia TriStar Films
0027977,Charles Chaplin,Paulette Goddard,Henry Bergman,Tiny Sandford,Ira H. Morgan,Roland Totheroh,null,null,null,null,null,null,Charles Chaplin,null,null,null,Charles Chaplin,Willard Nico,null,null,Comedy,Drama,null,null,English,null,null,null,8.6,Charles Chaplin,null,null,null,Charles Chaplin,null,null,null,United Artists,Actueel Film,Dr. Hauser & Company,Loet C. Barnstijn's Standaard Films
3076658,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Phylicia Rashad,Maryse Alberti,null,null,null,Teresa Binder,Kirby Emile,Jody Felz,Lorraine Hawk,Ryan Coogler,null,null,null,Claudia Castello,Michael P. Shawver,null,null,Drama,Sport,null,null,English,null,null,null,8.6,Robert Chartoff,William Chartoff,Sylvester Stallone,Nicolas Stern,Ryan Coogler,Aaron Covington,Ryan Coogler,Sylvester Stallone,Geo Films,Karo Premiere,Roadshow Films,Warner Bros. F.E.
0054215,Anthony Perkins,Vera Miles,John Gavin,Janet Leigh,John L. Russell,null,null,null,Helen Colvig,Joan Joseff,Theodore R. Parvin,Rita Riggs,Alfred Hitchcock,null,null,null,George Tomasini,null,null,null,Horror,Mystery,Thriller,null,English,null,null,null,8.5,Alfred Hitchcock,null,null,null,Joseph Stefano,Robert Bloch,null,null,Paramount Pictures,Paramount British Pictures,Les Films Paramount,Paramount
1895587,Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,Masanobu Takayanagi,null,null,null,Robin Chalfin,Elizabeth Clifford,Renee Fontana,Virginia Johnson,Tom McCarthy,null,null,null,Tom McArdle,null,null,null,Biography,Drama,History,Thriller,English,null,null,null,8.6,Michael Bederman,Kate Churchill,Bard Dorros,Blye Pagon Faust,Josh Singer,Tom McCarthy,null,null,BIM Distribuzione,Entertainment One,NOS Audiovisuais,Open Road Films (II)
0167260,Noel Appleby,Ali Astin,Sean Astin,David Aston,Andrew Lesnie,null,null,null,Catherine Anderton,Martine Bijker,Liza Bishop,Dion Boothby,Peter Jackson,null,null,null,Jamie Selkirk,null,null,null,Adventure,Fantasy,null,null,English,Quenya,Old English,Sindarin,8.9,Peter Jackson,Michael Lynne,Mark Ordesky,Barrie M. Osborne,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Peter Jackson,New Line Cinema,A-Film Distribution,Alliance Atlantis Communications,Aurum Producciones
0034583,Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,Arthur Edeson,null,null,null,Anthony Gasbarri,Eugene Joseff,null,null,Michael Curtiz,null,null,null,Owen Marks,null,null,null,Drama,Romance,War,null,English,French,German,Italian,8.6,Hal B. Wallis,Jack L. Warner,null,null,Julius J. Epstein,Philip G. Epstein,Howard Koch,Murray Burnett,Warner Bros.,Warner Bros.,Sociedade Importadora de Filmes (SIF),Warner Bros. First National Films
0047396,James Stewart,Grace Kelly,Wendell Corey,Thelma Ritter,Robert Burks,null,null,null,Joan Joseff,null,null,null,Alfred Hitchcock,null,null,null,George Tomasini,null,null,null,Mystery,Thriller,null,null,English,null,null,null,8.5,Alfred Hitchcock,null,null,null,John Michael Hayes,Cornell Woolrich,null,null,Cinema International Corporation (C.I.C.),Fathom Events,Les Films Paramount,Paramount British Pictures
0110413,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,Thierry Arbogast,null,null,null,Laurence Glentzin,Lorraine Mathieu,Charlie Murphy,Marcia Patten,Luc Besson,null,null,null,Sylvie Landra,null,null,null,Crime,Drama,Thriller,null,English,Italian,French,null,8.6,Claude Besson,John Garland,Bernard Grenet,Luc Besson,Luc Besson,null,null,null,Gaumont Buena Vista International (GBVI),Columbia Pictures,Buena Vista International (Sweden),Finnkino
0016690,William Haines,Jack Pickford,Mary Brian,Ralph Bushman,Ira H. Morgan,null,null,null,Kathleen Kay,Maude Marsh,null,null,Jack Conway,null,null,null,Frank Davis,null,null,null,Drama,Romance,null,null,English,null,null,null,8.5,Harry Rapf,Irving Thalberg,null,null,Joseph Farnham,Donald Ogden Stewart,Rida Johnson Young,A.P. Younger,Metro-Goldwyn-Mayer (MGM),Jury Metro-Goldwyn,Critics' Choice Video,null
0167261,Bruce Allpress,Sean Astin,John Bach,Sala Baker,Andrew Lesnie,null,null,null,Catherine Anderton,Martine Bijker,Liza Bishop,Anna Bosley,Peter Jackson,null,null,null,Michael Horton,null,null,null,Adventure,Fantasy,null,null,English,Sindarin,Old English,null,8.7,Peter Jackson,Michael Lynne,Mark Ordesky,Barrie M. Osborne,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Stephen Sinclair,New Line Cinema,A-Film Distribution,Alliance Atlantis Communications,Aurum Producciones
0120737,Alan Howard,Noel Appleby,Sean Astin,Sala Baker,Andrew Lesnie,null,null,null,Catherine Anderton,Martine Bijker,Anna Bosley,Chantelle Bowkett,Peter Jackson,null,null,null,John Gilbert,null,null,null,Adventure,Drama,Fantasy,null,English,Sindarin,null,null,8.8,Peter Jackson,Michael Lynne,Mark Ordesky,Barrie M. Osborne,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Peter Jackson,New Line Cinema,A-Film Distribution,Alliance Atlantis Communications,Aurum Producciones
1821700,Shaan Shahid,Hamza Abbasi,Shamoon Abbasi,Ayesha Khan,Bilal Lashari,null,null,null,Iftikhar Ahmad Shaheen Shah,null,null,null,Bilal Lashari,null,null,null,Bilal Lashari,null,null,null,Action,Drama,Thriller,null,English,Urdu,null,null,8.5,Jameel Ahmed,Hassan Rana,Hassan Rana,null,Hassan Rana,null,null,null,ARY Films,Mandviwalla Entertainment,ARY Films,Friends India Entertaainment
0816692,Ellen Burstyn,Matthew McConaughey,Mackenzie Foy,John Lithgow,Hoyte Van Hoytema,null,null,null,Mark Avery,Leigh Bell,Linda Benavente-Notaro,Dorothy Bulac,Christopher Nolan,null,null,null,Lee Smith,null,null,null,Adventure,Drama,Sci-Fi,null,English,null,null,null,8.6,Jordan Goldberg,Jake Myers,Christopher Nolan,Lynda Obst,Jonathan Nolan,Christopher Nolan,null,null,20th Century Fox,Alexandra Films,Cocinsa,Galaxy Studio
0120689,Tom Hanks,David Morse,Michael Clarke Duncan,Bonnie Hunt,David Tattersall,null,null,null,Lis Bothwell,Marsha Bozeman,Paula Lynn Kaatz,Heather Pain,Frank Darabont,null,null,null,Richard Francis-Bruce,null,null,null,Crime,Drama,Fantasy,Mystery,English,French,null,null,8.5,Frank Darabont,David Valdes,null,null,Stephen King,Frank Darabont,null,null,Warner Bros.,United International Pictures (UIP),Warner Bros. Entertainment,Sandrew Metronome Distribution Sverige AB
0082971,Harrison Ford,Karen Allen,Paul Freeman,Ronald Lacey,Douglas Slocombe,null,null,null,Ian Hickinbotham,Sue Wain,Rita Wakely,null,Steven Spielberg,null,null,null,Michael Kahn,George Lucas,null,null,Action,Adventure,null,null,English,German,Hebrew,Spanish,8.5,Howard G. Kazanjian,George Lucas,Frank Marshall,Robert Watts,Lawrence Kasdan,George Lucas,Philip Kaufman,null,Paramount Pictures,Cinema International Corp.,Cinema International Corporation (CIC),Cinema International Corporation (CIC)
0057012,Peter Sellers,George C. Scott,Sterling Hayden,Keenan Wynn,Gilbert Taylor,null,null,null,Bridget Sellers,null,null,null,Stanley Kubrick,null,null,null,Anthony Harvey,null,null,null,Comedy,War,null,null,English,Russian,null,null,8.5,Stanley Kubrick,Victor Lyndon,Leon Minoff,null,Stanley Kubrick,Terry Southern,Peter George,Peter George,Columbia Pictures,Columbia Pictures Corporation,Columbia Films,Columbia Films
0043014,William Holden,Gloria Swanson,Erich von Stroheim,Nancy Olson,John F. Seitz,null,null,null,Ed Fitzharris,Hazel Hegarty,Joan Joseff,null,Billy Wilder,null,null,null,Arthur P. Schmidt,null,null,null,Drama,Film-Noir,null,null,English,null,null,null,8.5,Charles Brackett,null,null,null,Charles Brackett,Billy Wilder,D.M. Marshman Jr,null,Paramount Pictures,Paramount Pictures,Paramount Films,National Broadcasting Company (NBC)
0120815,Tom Hanks,Tom Sizemore,Edward Burns,Barry Pepper,Janusz Kaminski,null,null,null,Fiona Belton,Anthony Black,Nigel Boyd,David Crossman,Steven Spielberg,null,null,null,Michael Kahn,null,null,null,Action,Drama,War,null,English,French,German,Czech,8.6,Ian Bryce,Bonnie Curtis,Kevin De La Noy,Mark Gordon,Robert Rodat,null,null,null,DreamWorks Distribution,Paramount Pictures,United International Pictures (UIP),United International Pictures (UIP)
2582802,Miles Teller,J.K. Simmons,Paul Reiser,Melissa Benoist,Sharone Meir,null,null,null,John Thong Hoang Nguyen,Regalia Thomas,null,null,Damien Chazelle,null,null,null,Tom Cross,null,null,null,Drama,Music,null,null,English,null,null,null,8.5,Jason Blum,Jeanette Brill,Nicholas Britell,Phillip Dawe,Damien Chazelle,null,null,null,Ad Vitam Distribution,Andes Films,Big Picture 2 Films,Emperor Motion Pictures
0253474,Adrien Brody,Emilia Fox,Michal Zebrowski,Ed Stoppard,Pawel Edelman,null,null,null,Janusz Adamiak,Magdalena Biedrzycka,Diana Gollmer,Miriam Gomez-Casanova,Roman Polanski,null,null,null,Hervé de Luze,null,null,null,Biography,Drama,War,null,English,German,Russian,null,8.5,Robert Benmussa,Timothy Burrill,Daniel Champagnon,Gene Gutowski,Ronald Harwood,Wladyslaw Szpilman,null,null,StudioCanal,Bac Films,Wild Side Vidéo,Wild Side Vidéo
0209144,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Mark Boone Junior,Wally Pfister,null,null,null,Anne Laoparadonchai,Laura Marolakos,null,null,Christopher Nolan,null,null,null,Dody Dorn,null,null,null,Mystery,Thriller,null,null,English,null,null,null,8.5,Christopher Ball,Elaine Dysinger,Aaron Ryder,Emma Thomas,Christopher Nolan,Jonathan Nolan,null,null,Newmarket Films,Columbia TriStar Home Video,Alliance Atlantis Motion Picture Distribution,Pathé Distribution
0088763,Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,Dean Cundey,null,null,null,Brian Callahan,Julie Starr Dresner,Haleen K. Holt,Robert Iannaccone,Robert Zemeckis,null,null,null,Harry Keramidas,Arthur Schmidt,null,null,Adventure,Comedy,Sci-Fi,null,English,null,null,null,8.5,Neil Canton,Bob Gale,Kathleen Kennedy,Frank Marshall,Robert Zemeckis,Bob Gale,null,null,Universal Pictures,Deliverance Pictures,Lucernafilm - Alfa,Svenska Filminstitutet (SFI)
2376134,Adi Alfa,Alexandra Johnston,Tisha Merry,Jake Abraham,David Read,null,null,null,null,null,null,null,Joe Scott,null,null,null,Andrew McKee,null,null,null,Music,Musical,null,null,English,null,null,null,8.5,Ann Scott,Jake Seal,Lesley Wright,null,Joe Scott,null,null,null,Ace Film,null,null,null
0103064,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,Adam Greenberg,null,null,null,Colin Booth,Carol Dobrovolny,Greg Hall,Bruce R. Hogard,James Cameron,null,null,null,Conrad Buff IV,Dody Dorn,Mark Goldblatt,Richard A. Harris,Action,Sci-Fi,null,null,English,Spanish,null,null,8.5,Stephanie Austin,James Cameron,Gale Anne Hurd,Mario Kassar,James Cameron,William Wisher Jr,null,null,TriStar Pictures,Canal+ Droits Audiovisuels,Columbia TriStar Films AB,Columbia TriStar Films
0078788,Marlon Brando,Martin Sheen,Robert Duvall,Frederic Forrest,Vittorio Storaro,null,null,null,Luster Bayless,Norman A. Burza,Dennis Fill,Charles E. James,Francis Ford Coppola,null,null,null,Lisa Fruchtman,Gerald B. Greenberg,Walter Murch,null,Drama,War,null,null,English,French,Vietnamese,null,8.5,John Ashley,Kim Aubry,Francis Ford Coppola,Gray Frederickson,John Milius,Francis Ford Coppola,Michael Herr,Joseph Conrad,United Artists,AMLF,Adams Filmi,Europa Film
0482571,Hugh Jackman,Christian Bale,Michael Caine,Piper Perabo,Wally Pfister,null,null,null,Anthony Almaraz,Shandra Beri,Tom Cummins,Carrie Dacre,Christopher Nolan,null,null,null,Lee Smith,null,null,null,Drama,Mystery,Sci-Fi,Thriller,English,null,null,null,8.5,Christopher Ball,Valerie Dean,Jordan Goldberg,Christopher Nolan,Jonathan Nolan,Christopher Nolan,Christopher Priest,null,Warner Bros.,Buena Vista Pictures,Buena Vista Pictures Distribution,Continental Film
0407887,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,Michael Ballhaus,null,null,null,Wayne Allen,David Davenport,Rhonney Greene,Debbie Holbrook,Martin Scorsese,null,null,null,Thelma Schoonmaker,null,null,null,Crime,Drama,Thriller,null,English,Cantonese,null,null,8.5,Michael Aguilar,G. Mac Brown,Doug Davison,Brad Grey,William Monahan,Alan Mak,Felix Chong,null,Entertainment Film Distributors,Fox-Warner,Long Shong Entertainment Multimedia Company,Medusa Distribuzione
0032553,Charles Chaplin,Jack Oakie,Reginald Gardiner,Henry Daniell,Karl Struss,Roland Totheroh,null,null,Wyn Ritchie,Ted Tetrick,null,null,Charles Chaplin,null,null,null,Willard Nico,Harold Rice,null,null,Comedy,Drama,War,null,English,Esperanto,null,null,8.5,Charles Chaplin,Carter DeHaven,null,null,Charles Chaplin,null,null,null,United Artists,Columbia Pictures,Spectrum,CBS/Fox Home Video
0120586,Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien,Tony Kaye,null,null,null,Marisa Aboitiz,Yvette Ammon,Ulker Irazat,Ángela Núñez,Tony Kaye,null,null,null,Gerald B. Greenberg,Alan Heim,null,null,Crime,Drama,null,null,English,null,null,null,8.6,Bill Carraro,Michael De Luca,Jon Hess,David McKenna,David McKenna,null,null,null,New Line Cinema,Aurum Producciones,E1 Entertainment Benelux,Kinowelt Filmverleih
0081505,Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers,John Alcott,null,null,null,Ron Beck,Ken Lawton,Veronica McAuliffe,null,Stanley Kubrick,null,null,null,Ray Lovejoy,null,null,null,Drama,Horror,null,null,English,null,null,null,8.4,Robert Fryer,Jan Harlan,Mary Lea Johnson,Stanley Kubrick,Stephen King,Stanley Kubrick,Diane Johnson,null,Warner Bros.,Warner Bros.,Warner-Columbia Film,Warner-Columbia Film
